284,Cal Poly-SLO-C (SLOC)
285,Washington-B (Washington B)
286,Massachusetts (Zoodisc)
287,Tufts (Elephant Men)
288,Colorado Mines-B (Benchropy)
289,Virginia (Night Train)
290,Carleton College-C (Karls)
291,Wisconsin-B (Fauxdags)
292,Wisconsin-La Crosse (BadLUC)
293,St Olaf (Berzerkers)
294,Wisconsin-Eau Claire-B (Breauzone)
295,Case Western Reserve (Fighting Gobies[A])
296,Minnesota-B (Minnesota B)
297,Wisconsin-Eau Claire (EauZone)
298,Macalester (Macalester Open Ultimate)
299,Minnesota-C (Minnesota C)
300,Carleton University (Ravens)
301,Ottawa (Gee-Gees)
302,Ithaca (Nawshus Ultimate)
303,Maryland (Maryland Ultimate)
304,Carthage (Carthage Blitz)
305,Illinois-Chicago (Juice)
306,Kenyon (SERF)
307,Minnesota State-Mankato (Blue Skunks)
308,Rose-Hulman (Elephantitis)
309,Iowa State-B (BSUC)
310,Iowa-B (Iowa-B (HUCititis))
311,Duke (Brimstone)
312,Towson (Pandamonium)
313,Lehigh (Lehigh)
314,Rutgers (Machine)
315,Wooster  (Wooster Hawks)
316,Cedarville (Swarm)
317,Davenport (Panthers)
318,South Carolina-B (South Carolina)
319,"Wake Forest (Well Oiled Machine, Baby)"
320,North Carolina State-B (SixPack)
321,Swarthmore (Earthworms)
322,Pennsylvania Western (Haggis)
323,Georgia Tech-B (Tribe)
324,Clemson-B (Joint Biefs)
325,East Tennessee State (Dry Bones)
326,Morehouse (Morehouse Ultimate)
327,Cincinnati (Bearcats)
328,Christopher Newport (Skymaul)
329,Mary Washington (Mother of George)
330,Davidson (DUFF)
331,Cincinnati -B (Bearcats B)
332,Penn State-Behrend (JustDisc League)
333,Delaware (Sideshow)
334,Skidmore (Wombats)
335,Vassar (Swinging Monks)
336,SUNY-Albany (SCAM)
337,Montana State (Rum Runners)
338,Colorado Mesa (Colorado Mesa Mavericks)
339,DePaul (DUC)
340,Grinnell (Grinnellephants)
341,Oklahoma Christian (Eagles)
342,Kansas (Horrorzontals)
343,Kansas State (Wizards)
344,Oklahoma State (Ultimato)
345,John Brown (Ironfist)
346,Truman State (JujiTSU)
347,Princeton (Clockwork)
348,Connecticut (UConn Huskies)
349,NYU (New York University)
350,Roger Williams (RWU Mens Ultimate)
351,West Chester-B (West Chester (B))
352,Hofstra (Flying Dutchmen)
353,Siena (Siena Saints)
354,SUNY-Albany-B (SCAM)
355,Rowan (Ruf Riders)
356,Dartmouth-B (Discomfort Trolley)
357,New Jersey Tech (Highlanders)
358,Lehigh-B (Lehigh-B)
359,Toronto (TULA)
360,Michigan-B (Michigan-B)
361,Delaware-B (Sideshow)
362,Denison (Denison Frisbee Ultimate Club)
